STATE,DISTRICT,ISSUE
AK,Senate,SWC candidate NOT in JSON: Mary Peltola (D) [slug: mary---peltola]
AK,At-Large,JSON candidate NOT on SWC: Mary Peltola (D) [slug: mary---peltola]
AL,Senate,JSON candidate NOT on SWC: Morgan Murphy (R) [slug: morgan---murphy]
AL,Senate,SWC candidate NOT in JSON: Barry Moore (R) [slug: barry---moore]
AL,Senate,Name mismatch (same slug 'matthew---burton'): JSON='Matthew Burton' SWC='Seth Burton'
AL,1,JSON candidate NOT on SWC: Barry Moore (R) [slug: barry---moore]
AL,1,JSON candidate NOT on SWC: Ralph Mills III (R) [slug: ralph---mills]
AL,2,JSON candidate NOT on SWC: Jarmal Sanders (R) [slug: jarmal---sanders]
AL,3,Name mismatch (same slug 'victor---mcinnis'): JSON='Victor Mcinnis' SWC='Lee Mcinnis'
AL,4,SWC candidate NOT in JSON: Shane Weaver (D) [slug: shane---weaver]
AL,5,JSON candidate NOT on SWC: Joseph Terry (R) [slug: joseph---terry]
AL,6,JSON candidate NOT on SWC: Elizabeth Anderson (D) [slug: elizabeth---anderson]
AL,6,SWC candidate NOT in JSON: Keith Pilkington (D) [slug: keith---pilkington]
AR,Senate,Party mismatch for 'Jeffrey Wadlin': JSON=I SWC=?
AR,3,JSON candidate NOT on SWC: Diana Lawrence (D) [slug: diana---lawrence]
AZ,1,JSON candidate NOT on SWC: Gina Swoboda (R) [slug: gina---swoboda]
AZ,1,JSON candidate NOT on SWC: Andres Barraza (D) [slug: andres---barraza]
AZ,1,JSON candidate NOT on SWC: Paul Reevs (R) [slug: paul---reevs]
AZ,1,JSON candidate NOT on SWC: Angie Montoya (D) [slug: angie---montoya]
AZ,1,JSON candidate NOT on SWC: Jason Duey (R) [slug: jason---duey]
AZ,1,JSON candidate NOT on SWC: Brandon Sowers (R) [slug: brandon---sowers]
AZ,1,JSON candidate NOT on SWC: Brian Del Vecchio (D) [slug: brian---delvecchio]
AZ,1,JSON candidate NOT on SWC: Kaitlin Purrington (R) [slug: kaitlin---purrington]
AZ,1,JSON candidate NOT on SWC: Brandon Donnelly (D) [slug: brandon---donnelly]
AZ,1,SWC candidate NOT in JSON: Jay Feely (R) [slug: thomas---feely]
AZ,1,SWC candidate NOT in JSON: David Redkey (?) [slug: david---redkey]
AZ,3,JSON candidate NOT on SWC: Kirt Burgess (R) [slug: kirt---burgess]
AZ,4,JSON candidate NOT on SWC: Jerone Davison (R) [slug: jerone---davison]
AZ,4,JSON candidate NOT on SWC: Andromeda Crum (I) [slug: andromeda---crum]
AZ,5,JSON candidate NOT on SWC: Mike Gross (R) [slug: mike---gross]
AZ,5,JSON candidate NOT on SWC: Thomas Feely (R) [slug: thomas---feely]
AZ,5,JSON candidate NOT on SWC: Alex Stovall (R) [slug: alex---stovall]
AZ,6,JSON candidate NOT on SWC: Carter Weeks (D) [slug: carter---weeks]
AZ,6,JSON candidate NOT on SWC: Mo Goldman (D) [slug: mo---goldman]
AZ,6,JSON candidate NOT on SWC: Trevor Dickerson (I) [slug: trevor---dickerson]
AZ,7,SWC candidate NOT in JSON: Daniel Butierez (R) [slug: daniel---butierez]
AZ,8,JSON candidate NOT on SWC: Jessie Martines (D) [slug: jessie---martines]
AZ,8,JSON candidate NOT on SWC: Maria Flores (D) [slug: maria---flores]
AZ,9,JSON candidate NOT on SWC: Camelia Ward (D) [slug: camelia---ward]
AZ,9,JSON candidate NOT on SWC: Teresa Volesky (R) [slug: teresa---volesky]
CA,Senate,JSON candidate NOT on SWC: Alander Pulliam (I) [slug: alander---pulliam]
CA,1,JSON candidate NOT on SWC: James Brock (D) [slug: james---brock]
CA,1,JSON candidate NOT on SWC: James Salegui (D) [slug: james---salegui]
CA,1,SWC candidate NOT in JSON: Kyle Wilson (D) [slug: kyle---wilson]
CA,2,SWC candidate NOT in JSON: Nicolette Hahn (I) [slug: nicolette---hahn]
CA,2,SWC candidate NOT in JSON: Paul Saulsbury (R) [slug: paul---saulsbury]
CA,3,JSON candidate NOT on SWC: Kevin Kiley (R) [slug: kevin---kiley]
CA,3,SWC candidate NOT in JSON: Ami Bera (D) [slug: ami---bera]
CA,3,SWC candidate NOT in JSON: Christopher Bennett (D) [slug: christopher---bennett]
